5.7905e+06,-693,-5287,9058
5.7874e+06,-643,-5278,9063
5.7843e+06,-648,-5165,9063
5.782e+06,-720,-5077,9101
5.7811e+06,-662,-5199,9079
5.7794e+06,-648,-5278,9067
5.7789e+06,-643,-5244,9067
5.7781e+06,-655,-5225,9084
5.7781e+06,-691,-5189,9103
5.7776e+06,-674,-5120,9058
5.7778e+06,-648,-5108,8988
5.7775e+06,-705,-5208,8993
5.7785e+06,-667,-5292,9094
5.782e+06,-665,-5213,9075
5.7838e+06,-665,-5172,9060
5.7865e+06,-645,-5206,9120
5.7901e+06,-626,-5215,9103
5.7936e+06,-655,-5213,9046
5.7974e+06,-672,-5201,9008
5.8019e+06,-691,-5189,9067
5.8069e+06,-672,-5215,9106
5.8107e+06,-638,-5237,9091
5.8155e+06,-665,-5211,9051
5.8204e+06,-667,-5167,9051
5.8247e+06,-686,-5263,9051
5.83e+06,-715,-5266,9087
5.8349e+06,-677,-5120,9000
5.8418e+06,-629,-5146,9010
5.8471e+06,-667,-5347,9113
5.8535e+06,-648,-5313,9120
5.8602e+06,-631,-5163,9063
5.8626e+06,-674,-5187,9060
5.859e+06,-669,-5246,9060
5.8507e+06,-672,-5215,9046
5.8406e+06,-674,-5232,9024
5.8292e+06,-634,-5211,9051
5.8197e+06,-636,-5215,9065
5.8127e+06,-684,-5316,9120
5.8076e+06,-684,-5311,9084
5.8042e+06,-650,-5194,8984
5.7999e+06,-650,-5112,8960
5.7967e+06,-674,-5225,9036
5.7939e+06,-758,-5316,9132
5.7931e+06,-612,-5211,9084
5.7916e+06,-590,-5115,9015
5.7907e+06,-686,-5263,9055
5.7889e+06,-703,-5282,9094
5.7882e+06,-667,-5132,9010
5.7885e+06,-686,-5069,8967
5.7894e+06,-691,-5258,9101
5.7886e+06,-662,-5373,9156
5.7907e+06,-619,-5213,9075
5.7924e+06,-660,-5098,9051
5.7953e+06,-660,-5170,9106
5.7974e+06,-667,-5306,9098
5.8004e+06,-672,-5297,9058
5.8043e+06,-679,-5163,9053
5.8076e+06,-657,-5084,9024
5.8106e+06,-588,-5182,9041
5.8148e+06,-892,-5476,9020
5.8205e+06,-873,-5309,8996
5.8237e+06,-643,-4833,8945
5.8274e+06,-483,-5144,9201
5.8332e+06,-528,-5675,9421
